案件名,仕事スタイル,価格,URL,残り時間,提案数
【日本語→韓国語】約12000字の翻訳のお願い,プロジェクト,"20,000 円 ~ 50,000 円 / 固定",https://www.lancers.jp/work/detail/3378861,あと1日,17
NEW 和風建築事務所のホームページの翻訳（日本語→中国語）,プロジェクト,"50,000 円 ~ 100,000 円 / 固定",https://www.lancers.jp/work/detail/3384366,あと3日,17
NEW 【勉強した英語活かしませんか？】アパレル店舗スタッフに電話のお仕事☆完全在宅・海外在住もOK・副業☆,プロジェクト,"10,000 円 ~ 20,000 円 / 固定",https://www.lancers.jp/work/detail/3384117,あと3日,4
海外在住の方限定！アパレル商品の引き取り・発送をご担当いただける方,プロジェクト,"5,000 円 ~ 10,000 円 / 固定",https://www.lancers.jp/work/detail/3380210,あと23時間,2
NEW 3回目 大阪の台湾経済文化弁事処へ書類の代理提出,プロジェクト,"10,000 円 ~ 20,000 円 / 固定",https://www.lancers.jp/work/detail/3383866,あと5日,1
★韓国在住の方★未経験・主婦の方大歓迎！商品の引き取り・発送作業パートナー募集,プロジェクト,"~ 5,000 円 / 固定",https://www.lancers.jp/work/detail/3379596,あと12時間,1
NEW 英語セミナー動画（医療分野）の字幕作成,プロジェクト,"50,000 円 ~ 100,000 円 / 固定",https://www.lancers.jp/work/detail/3386457,あと6日,1
NEW 【海外在住の方】  商品の受け取りと日本への発送をしてくださるパートナーさんを探しております！,プロジェクト,"~ 5,000 円 / 固定",https://www.lancers.jp/work/detail/3382293,あと2日,0
★オレゴン州在住の方★未経験・主婦の方大歓迎！商品の引き取り・発送作業パートナー募集,プロジェクト,"~ 5,000 円 / 固定",https://www.lancers.jp/work/detail/3379599,あと12時間,0
【フランス・イタリア・イギリス】現地のショップにワッツアップを聞きに行ってもらうお仕事☆,プロジェクト,"5,000 円 ~ 10,000 円 / 固定",https://www.lancers.jp/work/detail/3381111,あと1日,0
★パリ在住の方★未経験・主婦の方大歓迎！商品の引き取り・発送作業パートナー募集,プロジェクト,"~ 5,000 円 / 固定",https://www.lancers.jp/work/detail/3379624,あと12時間,0
★ハワイ州在住の方★未経験・主婦の方大歓迎！商品の引き取り・発送作業パートナー募集,プロジェクト,"~ 5,000 円 / 固定",https://www.lancers.jp/work/detail/3379597,あと12時間,0
【アメリカにお住まいの方】海外から日本への商品発送・在庫確認のお仕事です♪【副業、主婦さんも】,プロジェクト,"10,000 円 ~ 20,000 円 / 固定",https://www.lancers.jp/work/detail/3380072,あと20時間,0
NEW フランスにお住いの方！海外買い付け・発送パートナーさん大募集！！,プロジェクト,"10,000 円 ~ 20,000 円 / 固定",https://www.lancers.jp/work/detail/3384095,あと3日,0
NEW 【海外在住の方】  商品の受け取りと日本への発送をしてくださるパートナーさんを探しております！,プロジェクト,"5,000 円 ~ 10,000 円 / 固定",https://www.lancers.jp/work/detail/3382298,あと2日,0
★香港在住の方★未経験・主婦の方大歓迎！商品の引き取り・発送作業パートナー募集,プロジェクト,"~ 5,000 円 / 固定",https://www.lancers.jp/work/detail/3379629,あと2日,0
NEW イギリスにお住いの方！海外買い付け・発送パートナーさん大募集！！,プロジェクト,"10,000 円 ~ 20,000 円 / 固定",https://www.lancers.jp/work/detail/3384099,あと3日,0
オンライン買付さん募集！フランス、ドイツ、イタリアにお住まいの方！ぜひお力を貸してください,プロジェクト,"10,000 円 ~ 20,000 円 / 固定",https://www.lancers.jp/work/detail/3380976,あと3日,0
NEW イタリアにお住いの方！海外買い付け・発送パートナーさん大募集！！,プロジェクト,"10,000 円 ~ 20,000 円 / 固定",https://www.lancers.jp/work/detail/3384097,あと3日,0
★ローマ在住の方★未経験・主婦の方大歓迎！商品の引き取り・発送作業パートナー募集,プロジェクト,"~ 5,000 円 / 固定",https://www.lancers.jp/work/detail/3379600,あと12時間,0
★ヨーロッパ圏在住の方★未経験・主婦の方大歓迎！商品の引き取り・発送作業パートナー募集,プロジェクト,"~ 5,000 円 / 固定",https://www.lancers.jp/work/detail/3379628,あと12時間,0
★ミラノ在住の方★未経験・主婦の方大歓迎！商品の引き取り・発送作業パートナー募集,プロジェクト,"~ 5,000 円 / 固定",https://www.lancers.jp/work/detail/3379622,あと12時間,0
NEW 【中国在住/北京 上海 歓迎】ブランド商品の引き取り＆発送代行パートナー募集！（他国も募集中）,プロジェクト,"5,000 円 ~ 10,000 円 / 固定",https://www.lancers.jp/work/detail/3381532,あと4日,0
★オセアニア圏在住の方★未経験・主婦の方大歓迎！商品の引き取り・発送作業パートナー募集,プロジェクト,"~ 5,000 円 / 固定",https://www.lancers.jp/work/detail/3379627,あと2日,0
★アジア圏在住の方★未経験・主婦の方大歓迎！商品の引き取り・発送作業パートナー募集,プロジェクト,"~ 5,000 円 / 固定",https://www.lancers.jp/work/detail/3379630,あと2日,0
NEW ★ロンドン在住の方★未経験・主婦の方大歓迎！商品の引き取り・発送作業パートナー募集,プロジェクト,"~ 5,000 円 / 固定",https://www.lancers.jp/work/detail/3386095,あと6日,0
